"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.832778500E-2,-7.000000216E-3,4.500000179E-2,2.800000086E-2,5.346026760E-2
1.033422490E-1,2.600000054E-2,1.040000021E-1,0.000000000E0,1.072007485E-1
1.083567110E-1,1.200000010E-2,1.040000021E-1,0.000000000E0,1.046900208E-1
1.133712410E-1,1.400000043E-2,1.010000035E-1,1.400000043E-2,1.029223044E-1
1.183857050E-1,8.999999613E-3,1.049999967E-1,1.400000043E-2,1.063108617E-1
1.234001660E-1,2.800000086E-2,1.150000021E-1,2.700000070E-2,1.214001671E-1
1.284146370E-1,1.600000076E-2,1.010000035E-1,4.100000113E-2,1.101725956E-1
1.334293270E-1,2.999999933E-2,1.089999974E-1,1.300000027E-2,1.137980641E-1
1.384437710E-1,5.999999866E-2,1.089999974E-1,-1.300000027E-2,1.250999571E-1
1.434582320E-1,5.999999866E-2,9.499999881E-2,-1.300000027E-2,1.131105637E-1
1.484727690E-1,5.999999866E-2,9.499999881E-2,-1.300000027E-2,1.131105637E-1
1.534872070E-1,4.699999839E-2,9.499999881E-2,1.300000027E-2,1.067848286E-1
1.585018970E-1,5.999999866E-2,9.499999881E-2,2.700000070E-2,1.155595070E-1
1.635163460E-1,5.999999866E-2,8.100000024E-2,1.300000027E-2,1.016366070E-1
1.685308080E-1,5.999999866E-2,9.499999881E-2,-1.300000027E-2,1.131105637E-1
1.735453570E-1,4.699999839E-2,1.080000028E-1,-2.600000054E-2,1.206192376E-1
1.785598210E-1,5.999999866E-2,9.499999881E-2,-2.600000054E-2,1.153299599E-1
1.835742580E-1,4.699999839E-2,8.100000024E-2,-1.300000027E-2,9.454628440E-2
1.885889480E-1,3.299999982E-2,8.100000024E-2,0.000000000E0,8.746427858E-2
1.936034120E-1,4.699999839E-2,8.100000024E-2,0.000000000E0,9.364827755E-2
1.986179280E-1,4.699999839E-2,8.100000024E-2,-1.300000027E-2,9.454628440E-2
2.036323150E-1,5.999999866E-2,9.499999881E-2,-1.300000027E-2,1.131105637E-1
2.086468510E-1,5.999999866E-2,8.100000024E-2,-2.600000054E-2,1.041009121E-1
2.136613140E-1,3.299999982E-2,9.499999881E-2,-1.300000027E-2,1.014051269E-1
2.186759900E-1,4.699999839E-2,9.499999881E-2,-1.300000027E-2,1.067848286E-1
2.236904540E-1,6.100000069E-2,1.089999974E-1,0.000000000E0,1.249079642E-1
2.287049160E-1,4.699999839E-2,1.089999974E-1,-1.300000027E-2,1.194110518E-1
2.337194510E-1,4.699999839E-2,9.499999881E-2,-2.600000054E-2,1.091329448E-1
2.387339150E-1,3.299999982E-2,1.089999974E-1,-3.999999911E-2,1.207062523E-1
2.437483670E-1,4.699999839E-2,1.089999974E-1,-3.999999911E-2,1.252597270E-1
2.487630570E-1,4.699999839E-2,9.499999881E-2,-1.300000027E-2,1.067848286E-1
2.537775300E-1,3.299999982E-2,9.499999881E-2,-1.300000027E-2,1.014051269E-1
2.587920660E-1,6.100000069E-2,9.499999881E-2,1.300000027E-2,1.136441810E-1
2.638065300E-1,6.100000069E-2,9.499999881E-2,0.000000000E0,1.128981836E-1
2.688209820E-1,4.699999839E-2,8.100000024E-2,-1.300000027E-2,9.454628440E-2
2.738356720E-1,6.100000069E-2,8.100000024E-2,-3.999999911E-2,1.090045873E-1
2.788501350E-1,7.400000095E-2,9.499999881E-2,-3.999999911E-2,1.268897153E-1
2.838645970E-1,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
2.888791330E-1,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
2.938935780E-1,6.100000069E-2,8.100000024E-2,0.000000000E0,1.014001978E-1
2.989080400E-1,6.100000069E-2,9.499999881E-2,-1.300000027E-2,1.136441810E-1
3.039227150E-1,6.100000069E-2,9.499999881E-2,-2.600000054E-2,1.158533551E-1
3.089371780E-1,6.100000069E-2,9.499999881E-2,-3.999999911E-2,1.197747878E-1
3.139517150E-1,6.100000069E-2,8.100000024E-2,-1.300000027E-2,1.022301332E-1
3.189661400E-1,6.100000069E-2,9.499999881E-2,1.300000027E-2,1.136441810E-1
3.239808310E-1,6.100000069E-2,8.100000024E-2,1.300000027E-2,1.022301332E-1
3.289950640E-1,3.400000185E-2,9.499999881E-2,2.700000070E-2,1.044509451E-1
3.340097440E-1,4.699999839E-2,9.499999881E-2,1.300000027E-2,1.067848286E-1
3.390242070E-1,4.699999839E-2,1.080000028E-1,-1.300000027E-2,1.184989471E-1
3.440387440E-1,6.100000069E-2,1.080000028E-1,-1.300000027E-2,1.247156794E-1
3.490532360E-1,4.699999839E-2,9.499999881E-2,-1.300000027E-2,1.067848286E-1
3.540676980E-1,4.699999839E-2,1.080000028E-1,0.000000000E0,1.177837020E-1
3.590823980E-1,3.400000185E-2,1.220000014E-1,1.300000027E-2,1.273145729E-1
3.640968620E-1,4.699999839E-2,1.080000028E-1,1.300000027E-2,1.184989471E-1
3.691113980E-1,6.100000069E-2,1.080000028E-1,0.000000000E0,1.240362878E-1
3.741258670E-1,3.400000185E-2,1.080000028E-1,-1.300000027E-2,1.139692973E-1
3.791403280E-1,4.800000042E-2,9.399999678E-2,-1.300000027E-2,1.063437795E-1
3.841550190E-1,4.800000042E-2,9.399999678E-2,0.000000000E0,1.055461957E-1
3.891694820E-1,6.100000069E-2,9.399999678E-2,-1.300000027E-2,1.128095718E-1
3.941839440E-1,4.800000042E-2,1.080000028E-1,0.000000000E0,1.181862964E-1
3.991984790E-1,6.100000069E-2,9.399999678E-2,1.300000027E-2,1.128095718E-1
4.042129430E-1,4.800000042E-2,1.080000028E-1,1.300000027E-2,1.188991196E-1
4.092276330E-1,6.100000069E-2,1.080000028E-1,2.700000070E-2,1.269409340E-1
4.142420780E-1,4.800000042E-2,1.080000028E-1,1.360000074E-1,1.801776974E-1
4.192565390E-1,6.100000069E-2,1.080000028E-1,2.590000033E-1,2.871689440E-1
4.242710060E-1,4.800000042E-2,9.399999678E-2,3.680000007E-1,3.828367798E-1
4.292855420E-1,4.800000042E-2,9.399999678E-2,2.179999948E-1,2.422065176E-1
4.343000060E-1,7.500000298E-2,6.700000167E-2,-5.400000140E-2,1.141490290E-1
4.393146670E-1,7.500000298E-2,6.700000167E-2,-8.100000024E-2,1.291317184E-1
4.443291310E-1,4.800000042E-2,1.080000028E-1,2.720000148E-1,2.965670391E-1
4.493435920E-1,2.099999972E-2,1.220000014E-1,7.080000043E-1,7.187412653E-1
4.543581190E-1,3.400000185E-2,8.100000024E-2,7.630000114E-1,7.680403750E-1
4.593725820E-1,8.900000155E-2,6.700000167E-2,2.720000148E-1,2.939285773E-1
4.643870490E-1,1.019999981E-1,6.700000167E-2,-1.759999990E-1,2.141704917E-1
4.694017390E-1,4.800000042E-2,1.080000028E-1,-1.220000014E-1,1.698587677E-1
4.744162030E-1,7.000000216E-3,1.350000054E-1,3.810000122E-1,4.042709620E-1
4.794307340E-1,7.000000216E-3,9.399999678E-2,7.080000043E-1,7.142471599E-1
4.844451980E-1,6.199999899E-2,6.700000167E-2,4.900000095E-1,4.984305463E-1
4.894596590E-1,1.019999981E-1,6.700000167E-2,9.499999881E-2,1.546544523E-1
4.944743310E-1,7.500000298E-2,1.220000014E-1,-1.350000054E-1,1.968095583E-1
4.994887940E-1,2.099999972E-2,1.350000054E-1,-2.600000054E-2,1.390755243E-1
5.045033310E-1,7.000000216E-3,9.399999678E-2,2.039999962E-1,2.247242707E-1
5.095177940E-1,7.500000298E-2,3.999999911E-2,2.039999962E-1,2.209999973E-1
5.145322560E-1,1.019999981E-1,8.100000024E-2,1.300000027E-2,1.308969047E-1
5.195469610E-1,8.900000155E-2,1.350000054E-1,-8.100000024E-2,1.808507721E-1
5.245614250E-1,2.099999972E-2,1.350000054E-1,-3.999999911E-2,1.423587067E-1
5.295759190E-1,7.000000216E-3,8.100000024E-2,0.000000000E0,8.130190675E-2
5.345904560E-1,4.800000042E-2,3.999999911E-2,-9.499999881E-2,1.137057595E-1
5.396049340E-1,1.019999981E-1,6.700000167E-2,-2.440000027E-1,2.728167905E-1
5.446193960E-1,1.019999981E-1,1.220000014E-1,-2.579999864E-1,3.030709371E-1
5.496340860E-1,4.800000042E-2,1.490000039E-1,-1.220000014E-1,1.984666258E-1
5.546485160E-1,1.999999955E-2,1.080000028E-1,-2.600000054E-2,1.128716112E-1
5.596630520E-1,3.400000185E-2,6.700000167E-2,-9.499999881E-2,1.211197759E-1
5.646775060E-1,8.799999952E-2,8.100000024E-2,-2.440000027E-1,2.717370076E-1
5.696919670E-1,7.500000298E-2,1.220000014E-1,-2.579999864E-1,2.950813342E-1
5.747066390E-1,3.400000185E-2,1.350000054E-1,-1.899999976E-1,2.355440525E-1
5.797211020E-1,3.400000185E-2,1.080000028E-1,-1.350000054E-1,1.761959199E-1
5.847356390E-1,4.699999839E-2,8.100000024E-2,-1.350000054E-1,1.643015561E-1
5.897501160E-1,4.699999839E-2,8.100000024E-2,-1.490000039E-1,1.759857979E-1
